Tên Thư Mục;ID;Ngày Tạo
Xác Suất Thống Kê 864508;1inmQ0jODyN-kO-QpKAk6Lx08XcCETgmcRhC3Zw6oKGs91pIL_35F2_Bq4vzjSikySo2Yetv9;2025-12-26T23:45:32.710Z
Public;1KLOQzzFkGXXN2U_J-eJTKaarz2VXPKXZ;2025-12-10T07:08:49.463Z
SGU-NQ trọng tâm TW 2025;1_f12kwUofcZMdQipSBmR-7XBF3AxTqti;2025-11-25T03:39:45.926Z
DO_AN_OOP (1) (1) (1);1f3r421JPTUgTsYTBrPC1671c0Qcq4U7Q;2025-11-16T14:32:21.099Z
WRITING UNIT 8D;1fTdd5Mj3S7LQoCeuVh67ZwRs8A1nPtjR;2025-10-02T22:43:48.313Z
PYTHON;13acQBgZMGTY8N9Kk73a9-JI6rcC76xzG;2025-10-02T12:03:58.767Z
PPNCKH_Final Slides;1eX2yRhLz99b4I_YZsHPPX1zIupNQawEL;2025-08-31T11:16:16.520Z
ĐỢT 3;1LPWVyF9FA_hBCieS6kCgS-3JoUcc5o_Y;2025-09-29T03:12:45.926Z
ĐỢT 2;1ktD5g81yOrHfG2Vl7tR-c7L0eIFc-IRI;2025-09-29T02:55:05.843Z
ĐỢT 1;1mBvM8Zbb-WaabFd0t486MEKI9x8Dboq9;2025-09-29T02:12:29.005Z
BẢN MỘC ĐỎ;1ivV2djPQ0Tc15RwzH4pFCaKNOar4WpDv;2025-09-29T02:12:23.333Z
TRĂNG VỀ QUÊ EM ;1xslytwZuQVBj1_wEdROdOk9iN-JojMYz;2025-09-28T14:49:30.681Z
OOP;1LIQXe1n6z9ERkA9WmrmEqY__L0Gw8WEB;2025-09-21T13:46:35.827Z
TA1;1O0N1GlCCxxjk16s6MOqdTbZ2CFJkBMna;2025-09-20T07:41:01.595Z
TEXTBOOKS;1UMe71F--P-6pqdgFCmCTEECwxmO-4MyV;2025-09-09T11:15:26.048Z
Phương pháp lập trình hướng đối tượng;1W41BPHwsskNMRxHzJJ29eci7iIo1sry_QANUpKPYqV-67l5ZxIaIGm6V86l1vRWtPnqN0DUK;2025-09-09T00:59:31.322Z
NCKH SV;1ei1CCefAav0sbQFM-9C1mP8J4fyGPZhY;2025-09-02T12:04:14.434Z
NCKH Cấp Trường;1eiqbB-MheYfrq1Bb9kaupD2lw8JRADrR;2025-09-02T12:05:11.505Z
Thuyết minh;1eeJ8p_bu6uOqTZ_AO6dPkEWRJ7c5dXcx;2025-09-02T12:04:08.856Z
Minh Chứng;18Fe5HGWZZ339QjLkjEbsUGeYKJc3CcnI;2025-09-04T13:20:26.569Z
Students;1XJo3itEkFnyLw1XF3TOO87T2-ZNz9a3K;2023-09-06T00:12:35.450Z
24_28_Graph_Theory Graph Theory;1FUtY0vbtyDz-7JANcH2GvQzIpgO9OVxIguI0QjJKLVtMtNbYkqElfJVyPqSVGournH7xqgIL;2025-09-03T00:52:07.877Z
MINH CHỨNG ĐRL HK3 K24 24-25;1twlF5hxi46YXMPwOCJ5skPTwe_1JuvvJ;2025-08-16T09:48:15.369Z
gia đình haha;1e42wY7NfdIpexpKUYj2SJYlff_PmWPzq;2025-07-07T17:33:05.327Z
LỚP 4;1TkS-g6NGZ3ZATovW_wWYKjWxSJrdS_I9;2023-01-08T09:22:17.599Z
Pháp luật đại cương ;16kZJjTxmnl9JMWxkDyrh_eRJiWELgV5n;2024-12-04T06:36:30.836Z
D24;1F8tq_MwQJh-SiluH02SASx3bD7GarIZy;2024-03-11T06:33:01.134Z
CSDL 1241 - HK3;1tvo9TslcajTi-MCOpUE-7EUyoZ9rfKu_Jy9eSCkFc9sYUwgjlmFXa7e49MGseA5ecLo8_Q2K;2025-05-05T00:31:23.307Z
CNTT - MINH CHỨNG ĐIỂM RÈN LUYỆN HK1 NĂM HỌC 2024 - 2025;1EqVtzvUYQD8AI7hByRwb7KjAFCnh4w-R;2024-12-18T11:29:18.853Z
Kỹ thuật lập trình;1D4AqsHdYmAtq6S4ldsDwyiMEUx_3nVIn9bQgzfLa7yQFNGB_N5AblDF9XDBBfER1xtEuJrsg;2025-01-06T00:45:11.858Z
HƯỚNG DẪN ĐÁNH GIÁ ĐIỂM RÈN LUYỆN TRÊN WEB;1qKFTAaTIUUcA2hKEvA4EBzKMacVKg1DM;2024-12-19T09:32:36.341Z
Nhập môn CNTT - Tối thứ 2;1FVH88A0tSYZMZL-4ajyFSNHq2ARSBzHxYG7yNCbbDCNRS46b7pppYkjHm4EZQU-pFfCMDoAw;2024-09-09T10:04:46.933Z
Cơ sở lập trình;10o7u9kDnHY5psJ1RQFxRL1G3hcAYh-XmwNhoGaOjaLG6WFJJP6u2yPeVmJwq7X3XurQUwacV;2024-09-09T00:15:32.056Z
Classroom;18db9Q8-MZkGPWrxZhXv0njdgvfu8zedL_ouU-lvCpGAcT8aaRJ62FwdpLkEzpAMeB9kh7SJs;2024-09-09T00:15:31.982Z
ĐỀ ÔN TẬP TADV;1PfHDErQTBDD4xqYtTNFXaT_LvbOeTv9G;2024-08-07T15:11:37.119Z
Cơ sở trí tuệ nhân tạo;1Z-0wQtN1SuXmvQxrVo8KxB6ZZ2IYHRZ1;2024-08-02T00:47:52.370Z
Tổng ôn xác suất;1zoMSHHcyNP2t0B0T_TSG6W7YS7Ouzsbe;2024-06-24T14:25:58.340Z
Tổng ôn số phức;1ilc24ZlmeiES1W7nyGeS_mVo0YbF34Yz;2024-06-24T13:08:06.751Z
Tổng ôn Oxyz;1-PHiO-WRqnOMRg6sr1wQHfS_kopH4thg;2024-06-24T13:07:58.897Z
